device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,0.75,1702,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,353,1147,a5119a2efd3724450bbbafa65c20f40cacd4771733df3a65c435d4153d0a1286
device_0,0.75,1702,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,93,407,426205dc8c77502b35b157295fe0d943e522b141fa5381779eaa0a2da4529447
device_0,0.75,1702,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,93,407,4c9c12aa75404454854b396cdcb151da84c6b6946a7710881d8c8bf01f776da6
device_0,0.75,1702,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,93,907,bdfd57454dd75142495944272374115f4eb5898d6df0787e33bd1e2476fbf931
device_0,0.75,1702,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,93,907,d95307d8c3c87457cf5000603090233689c0a1e4888da67eebbaefe0c0ca3e7a
device_0,0.75,1702,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,93,1407,93c886b678482fa6259d289888e474304f77441523ddeb16bfb58726232c1f93
device_0,0.75,1702,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,93,1407,2339a2511e01e3f5a280d7f3cf8401c2a9d06bb8cd33f18e0ab2ee13e20bd7d8
device_0,0.75,1702,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,21,79,6edd8b5f9db148fbea6a0a7d15b356c540f7099aae13e9aa6ee6ecdce336ca8b
device_0,0.75,1702,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,21,79,3f48003455bf1c8074d7a1694f9228954d51311694c828149f7b746e9d304223
device_0,0.75,1702,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,21,479,0c171cd09daf45a8a38f9ca6c5cac6055263c7705661458b13a6dc593350ee14
